customer_id,customer_name,total_sales,total_profit
ML-16800-30249,Maria Lewis,1393.0,278.0
MB-63714-89126,Maria Bowman,1256.0,160.0
CL-81193-44195,Christopher Lee,8259.0,1584.0
EW-40388-45871,Eric Walsh,511.0,97.0
MS-33104-12330,Michael Schultz,1335.0,233.0
RG-14536-48603,Rebecca Gibson,11808.0,1773.0
MM-85074-56821,Michael Morales,10421.0,1796.0
NJ-45575-57609,Nancy Jimenez,1340.0,181.0
SK-21467-84842,Sarah Kim,17205.0,3337.0
RJ-87066-83791,Robert Jacobs,537.0,93.0
RJ-80734-41741,Richard Johnson,407.0,37.0
DP-56701-68541,Danielle Powell,357.0,77.0
TM-72771-57952,Thomas Martin,2189.0,280.0
GF-20027-46515,Gregory Frazier,230.0,51.0
TB-42883-52200,Tabitha Barton,7806.0,1326.0
DR-25784-29122,Dana Rice,1421.0,263.0
ME-23369-48553,Michael Ellis,11014.0,2077.0
JR-17805-41645,Jeffrey Rodriguez,641.0,125.0
HV-92403-53317,Heather Valdez,1912.0,357.0
GW-56406-78707,Gregory Williams,571.0,119.0
WW-74010-26803,William Walls,416.0,63.0
SV-94416-53609,Sharon Valencia,6825.0,1263.0
JR-33477-58159,Jeremy Riddle,303.0,45.0
JF-73909-13496,Joe Fitzgerald,5512.0,1050.0
MR-91928-86097,Matthew Ray,1905.0,266.0
JH-21422-94507,Jesus Hall,276.0,66.0
GD-37292-54905,Gary Davis,266.0,28.0
JA-78297-63842,John Armstrong,34882.0,4949.0
MW-37352-98336,Michelle Warner,7754.0,1383.0
SK-11926-97816,Stephanie Krause,1355.0,242.0
KA-12321-85020,Kelsey Alvarez,8984.0,1479.0
CB-45650-90192,Caleb Brown,16601.0,2635.0
JJ-16931-77894,Jacqueline Jones,1643.0,312.0
KO-57773-83661,Kenneth Olson,1123.0,227.0
MW-62510-40648,Mary Ward,1573.0,278.0
KM-20126-99427,Kara Martin,929.0,155.0
BS-23060-92927,Brenda Smith,307.0,56.0
JC-20032-57467,Jeremy Cortez,839.0,209.0
JC-91564-34600,Jamie Crawford,1107.0,267.0
AJ-38424-17429,Anne Jimenez,2242.0,291.0
LO-29393-23332,Laurie Owens,1203.0,221.0
AR-33534-75685,Ashley Rodriguez,150.0,14.0
JP-87439-44092,James Perry,654.0,172.0
WJ-28533-77658,William Johnson,6452.0,977.0
PR-73881-16822,Paul Rodgers,203.0,24.0
AD-13344-67798,April Davis,1578.0,268.0
PT-46002-82453,Patrick Trujillo,7344.0,1082.0
BW-35343-19025,Brandon Wise,1677.0,212.0
JR-99049-95900,Jeffrey Reyes,849.0,71.0
JP-60268-39072,Jessica Phillips,431.0,45.0
KW-11220-22007,Kimberly Wood,10479.0,2094.0
LG-24655-21830,Luke Garcia,2047.0,283.0
SR-28609-11613,Sarah Ramos,705.0,70.0
SL-90559-63116,Shane Lee,400.0,107.0
SF-96655-34128,Sheryl Fisher,600.0,101.0
JJ-55209-94822,Jacqueline Johnson,838.0,152.0
RH-63985-80864,Robert Hall,1001.0,147.0
MT-71966-21752,Melinda Turner,682.0,92.0
SS-57238-44595,Samuel Sanchez,442.0,126.0
BO-65179-17206,Brent Ortiz,171.0,44.0
KL-12762-58159,Karen Leon,2583.0,375.0
EE-48079-66019,Eric Elliott,23442.0,5162.0
SE-58472-77500,Sydney Edwards,438.0,97.0
CW-98539-61324,Crystal Wong,370.0,84.0
EH-38996-48230,Erica Hahn,61.0,9.0
JG-91725-95078,Jack Gates,1313.0,230.0
MR-32989-82919,Michael Robinson,177.0,23.0
JW-97772-87535,Joyce Wood,7056.0,1048.0
DT-64436-61794,Daniel Thomas,2281.0,458.0
MN-17213-95880,Mark Nicholson,12637.0,2514.0
PW-47014-35254,Paula Whitehead,12703.0,2298.0
KM-85217-99838,Kenneth Miller,1331.0,295.0
ES-39815-39227,Elizabeth Sawyer,571.0,131.0
DC-49387-49655,Darin Collins,888.0,117.0
MS-13228-23124,Meredith Smith,16130.0,3043.0
MG-88657-45363,Meagan Giles,2359.0,488.0
CL-36020-22905,Carla Lee,657.0,63.0
SL-32810-23712,Sara Luna,625.0,123.0
MF-78971-29299,Maria Fernandez,290.0,62.0
JC-55703-41511,Jamie Carroll,1350.0,263.0
LG-97901-99212,Lisa Gonzales,51.0,11.0
DP-92496-45193,Daniel Price,1597.0,290.0
JH-55743-45325,Jessica Hansen,759.0,109.0
ST-16866-43501,Sherry Taylor,9725.0,1472.0
AM-68787-20683,Amanda Miller,998.0,123.0
RN-78556-45227,Randy Nelson,799.0,157.0
MS-84996-91093,Mrs. Sydney Stone,448.0,99.0
LT-86442-25643,Lori Thompson,904.0,193.0
AN-54926-51422,Ashley Nelson,52.0,3.0
ET-65811-76146,Elizabeth Thomas,778.0,92.0
MC-97420-67933,Matthew Cooper,1957.0,285.0
BW-76183-70124,Brianna Walters,978.0,168.0
EM-18073-45367,Elizabeth Montgomery,377.0,99.0
SQ-61647-44593,Stephen Quinn,1528.0,243.0
PC-38865-16080,Peter Carter,408.0,45.0
NM-23315-34904,Nicole Cook MD,1552.0,374.0
MR-75804-85309,Michael Reed,4689.0,819.0
XC-56492-73713,Xavier Cameron,1812.0,339.0
TG-92354-83748,Tyler Green,1859.0,287.0
AC-25623-62811,Aaron Carroll,7358.0,1380.0
DR-17188-32850,Dr. Gary Ryan,72.0,4.0
SL-56662-92317,Susan Lopez,20544.0,2908.0
SR-81130-61407,Stacey Randolph,703.0,160.0
MK-98443-95222,Michael Kelly,658.0,90.0
DO-58928-16231,David Ortega,1490.0,196.0
DM-80767-13172,Dr. Katelyn Leach MD,1300.0,248.0
TR-79054-58272,Tiffany Ramos,132.0,32.0
RS-57941-92119,Roger Scott,367.0,34.0
JT-37954-87966,James Travis,3606.0,660.0
CJ-84683-86879,Cheryl Jones,498.0,91.0
AR-53498-98381,Ariana Robinson,18964.0,3205.0
RR-44108-87040,Randy Roberts,856.0,171.0
MB-58379-73000,Michelle Baker,1074.0,169.0
DR-11134-54172,Donna Rogers,186.0,41.0
SM-83960-40151,Susan Myers,378.0,87.0
DC-81418-95692,Darrell Clark,209.0,54.0
DB-18241-51706,Donna Barron,1294.0,333.0
SJ-74772-55941,Susan Johns,211.0,33.0
LP-84040-63960,Luis Morris PhD,7958.0,1104.0
MR-43748-45386,Mrs. Robin Rodriguez,11199.0,2785.0
MT-13949-55541,Meghan Trevino,1701.0,305.0
SG-16961-38761,Shelby Garza,1102.0,185.0
KS-14786-89671,Kevin Stuart,466.0,83.0
RS-40196-80130,Ryan Sutton,384.0,57.0
CW-80207-58303,Courtney Ware,412.0,108.0
JM-70920-64134,John Miller,10337.0,1892.0
CH-23565-20095,Christopher Hernandez,187.0,56.0
MH-63417-76955,Maria Hernandez,573.0,97.0
DF-99933-26096,Donald Francis,7952.0,1178.0
TT-21686-49369,Thomas Torres,212.0,29.0
NA-40672-76604,Nathan Aguilar,7760.0,1441.0
TF-24932-32027,Timothy Fuller,653.0,135.0
MD-39862-16553,Mrs. Tara Pratt DVM,2486.0,549.0
HC-29516-79376,Heather Cervantes,1409.0,199.0
NW-83164-40152,Nathan Williams,716.0,198.0
JD-60419-82945,Jennifer Davis,567.0,88.0
CO-64146-16077,Christine Owens,830.0,140.0
TH-47508-11806,Tasha Hoover,632.0,151.0
SB-58822-54775,Stanley Buchanan,10062.0,984.0
JH-90460-93419,Jennifer Hart,690.0,113.0
MP-19846-58401,Monique Perry,90.0,26.0
DH-49813-34859,Donald Howell,1129.0,196.0
EJ-21814-64012,Eric Potts Jr.,333.0,79.0
AL-43167-88312,Ashley Lyons,901.0,107.0
DM-94522-30281,Daniel Morris,1089.0,144.0
VJ-18080-98077,Valerie Johnson,2331.0,319.0
KW-62272-87798,Krystal Walter,9038.0,1688.0
KR-78917-59969,Kevin Roman,213.0,22.0
PR-20443-41758,Paul Rodgers,1005.0,176.0
SD-15627-17061,Spencer Diaz,530.0,68.0
AH-62516-64972,Annette Hansen,722.0,80.0
SR-15695-40700,Sydney Roberts,746.0,212.0
KT-64559-76880,Kathleen Thompson,418.0,67.0
NN-84186-81496,Nicholas Nguyen,1808.0,308.0
PP-19738-13427,Pamela Perez,93.0,28.0
CS-33318-55078,Cody Smith,776.0,163.0
EW-14266-90990,Erin Williamson,853.0,162.0
LR-84101-33249,Levi Ruiz,7119.0,1121.0
BA-15075-21462,Brandy Allen,15369.0,2785.0
KB-59551-51635,Kristine Brooks,1298.0,301.0
JC-34852-64318,Jeffrey Chapman,673.0,73.0
SD-49818-55613,Samantha Davis,1303.0,195.0
KG-81493-60805,Kathryn Green,799.0,65.0
LD-93554-37785,Lori Blankenship DDS,20972.0,4209.0
PD-94548-23431,Patrick Duncan,672.0,112.0
AL-57988-35523,Alison Lowe,11072.0,2127.0
JG-73762-52928,Jason Grant,433.0,106.0
TG-88992-42056,Tiffany Garcia,352.0,42.0
AO-15894-95932,Ann Osborn,710.0,100.0
DH-15372-97253,Darrell Hill,1272.0,278.0
TS-11156-42525,Timothy Smith,9657.0,1843.0
MS-39460-38127,Mark Sullivan,1249.0,207.0
NB-38303-32303,Natasha Barrett,552.0,140.0
RP-18589-11415,Ricky Patterson,707.0,152.0
WD-32144-97996,William Dickerson,692.0,145.0
EH-86854-72202,Elizabeth Hall,641.0,119.0
DM-13844-67961,Deborah Mendoza,998.0,215.0
JJ-66100-76842,Johnny Johnson,448.0,110.0
AR-23641-99575,Ann Rojas,594.0,75.0
CR-46226-43700,Christopher Roberts,1000.0,186.0
JS-23194-97127,Joe Sutton,6841.0,1019.0
CM-66931-84785,Charlene Morgan,1291.0,189.0
DW-39844-28999,David Waters,528.0,129.0
TG-87706-19063,Tiffany Gonzalez,23357.0,2845.0
RB-65538-92948,Robert Brown,1771.0,499.0
AP-26573-84196,Austin Perkins,11969.0,2504.0
DH-89167-17317,Dawn Hernandez,475.0,90.0
MM-62824-26339,Mr. David Martinez,10164.0,1680.0
JS-11954-71965,Joseph Sheppard,512.0,82.0
TB-47656-40899,Timothy Barber,825.0,144.0
MA-85649-91672,Michelle Adams,2200.0,407.0
MM-96380-98086,Michael Murray,26043.0,4611.0
TH-24473-64793,Travis Hale,3020.0,729.0
BH-69863-59556,Brandi Hill,12038.0,2339.0
JL-32746-76218,Jennifer Leon,149.0,12.0
PP-91384-32056,Pamela Proctor,1178.0,138.0
JF-40120-77930,Jennifer Franklin,219.0,50.0
CV-63051-22193,Cindy Velazquez,392.0,73.0
RM-61794-54720,Robin Martin,248.0,63.0
KH-13199-85445,Kathleen Howard,1387.0,238.0
CB-68488-34806,Casey Brown,843.0,122.0
LJ-48023-72255,Larry Jones,1887.0,413.0
SL-97034-64816,Stephanie Lee,82.0,19.0
TR-52885-82301,Thomas Ross,708.0,71.0
MG-27585-13569,Margaret Gonzalez,7069.0,1222.0
BM-51557-26469,Benjamin Mejia,557.0,76.0
AP-32876-84404,Amanda Pierce,394.0,105.0
NR-23092-57064,Nicole Richards,12754.0,2524.0
SW-28065-30939,Shannon Walter,657.0,120.0
